name,appearance,atomic_mass,boil,category,density,discovered_by,melt,molar_heat,named_by,number,period,group,phase,source,bohr_model_image,bohr_model_3d,spectral_img,summary,symbol,xpos,ypos,wxpos,wypos,shells,electron_configuration,electron_configuration_semantic,electron_affinity,electronegativity_pauling,ionization_energies,cpk-hex,block,image.title,image.url,image.attribution
Manganese,silvery metallic,54.9380443,2334.0,transition metal,7.21,Torbern Olof Bergman,1519.0,26.32,,25,4,7,Solid,https://en.wikipedia.org/wiki/Manganese,https://storage.googleapis.com/search-ar-edu/periodic-table/element_025_manganese/element_025_manganese_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_025_manganese/element_025_manganese.glb,,"Manganese is a chemical element with symbol Mn and atomic number 25. It is not found as a free element in nature; it is often found in combination with iron, and in many minerals. Manganese is a metal with important industrial metal alloy uses, particularly in stainless steels.",Mn,7,4,21,4,"[2, 8, 13, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d5,[Ar] 3d5 4s2,-50.0,1.55,"[717.3, 1509, 3248, 4940, 6990, 9220, 11500, 18770, 21400, 23960, 27590, 30330, 33150, 38880, 41987, 109480, 118100, 127100, 138600, 148500, 158600, 172500, 181380, 785450, 827067]",9c7ac7,d,Two Oieces of Manganese Metal,https://upload.wikimedia.org/wikipedia/commons/6/64/Manganese_element.jpg,"W. Oelen, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Iron,lustrous metallic with a grayish tinge,55.8452,3134.0,transition metal,7.874,5000 BC,1811.0,25.1,,26,4,8,Solid,https://en.wikipedia.org/wiki/Iron,https://storage.googleapis.com/search-ar-edu/periodic-table/element_026_iron/element_026_iron_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_026_iron/element_026_iron.glb,https://en.wikipedia.org/wiki/File:Iron_Spectrum.jpg,"Iron is a chemical element with symbol Fe (from Latin:ferrum) and atomic number 26. It is a metal in the first transition series. It is by mass the most common element on Earth, forming much of Earth's outer and inner core.",Fe,8,4,22,4,"[2, 8, 14, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d6,[Ar] 3d6 4s2,14.785,1.83,"[762.5, 1561.9, 2957, 5290, 7240, 9560, 12060, 14580, 22540, 25290, 28000, 31920, 34830, 37840, 44100, 47206, 122200, 131000, 140500, 152600, 163000, 173600, 188100, 195200, 851800, 895161]",e06633,d,"Fragments of an iron meteorite, about 92% iron. Original size of the single pieces in cm: 0.4 - 0.8",https://images-of-elements.com/iron-2.jpg,"Chemical ELements A Virtual Museum, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0> source: https://images-of-elements.com/iron.php"
Cobalt,hard lustrous gray metal,58.9331944,3200.0,transition metal,8.9,Georg Brandt,1768.0,24.81,,27,4,9,Solid,https://en.wikipedia.org/wiki/Cobalt,https://storage.googleapis.com/search-ar-edu/periodic-table/element_027_cobalt/element_027_cobalt_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_027_cobalt/element_027_cobalt.glb,,"Cobalt is a chemical element with symbol Co and atomic number 27. Like nickel, cobalt in the Earth's crust is found only in chemically combined form, save for small deposits found in alloys of natural meteoric iron. The free element, produced by reductive smelting, is a hard, lustrous, silver-gray metal.",Co,9,4,23,4,"[2, 8, 15, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d7,[Ar] 3d7 4s2,63.898,1.88,"[760.4, 1648, 3232, 4950, 7670, 9840, 12440, 15230, 17959, 26570, 29400, 32400, 36600, 39700, 42800, 49396, 52737, 134810, 145170, 154700, 167400, 178100, 189300, 204500, 214100, 920870, 966023]",f090a0,d,"Fractions from a cobalt, 7 and 4 grams. Original size in cm: 2 x 2",https://upload.wikimedia.org/wikipedia/commons/6/62/Cobalt_ore_2.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/cobalt.php"
Nickel,"lustrous, metallic, and silver with a gold tinge",58.69344,3003.0,transition metal,8.908,Axel Fredrik Cronstedt,1728.0,26.07,,28,4,10,Solid,https://en.wikipedia.org/wiki/Nickel,https://storage.googleapis.com/search-ar-edu/periodic-table/element_028_nickel/element_028_nickel_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_028_nickel/element_028_nickel.glb,,Nickel is a chemical element with symbol Ni and atomic number 28. It is a silvery-white lustrous metal with a slight golden tinge. Nickel belongs to the transition metals and is hard and ductile.,Ni,10,4,24,4,"[2, 8, 16, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d8,[Ar] 3d8 4s2,111.65,1.91,"[737.1, 1753, 3395, 5300, 7339, 10400, 12800, 15600, 18600, 21670, 30970, 34000, 37100, 41500, 44800, 48100, 55101, 58570, 148700, 159000, 169400, 182700, 194000, 205600, 221400, 231490, 992718, 1039668]",50d050,d,Nickel Chunk,https://upload.wikimedia.org/wikipedia/commons/5/57/Nickel_chunk.jpg,"Materialscientist at English Wikipedia, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Copper,red-orange metallic luster,63.5463,2835.0,transition metal,8.96,Middle East,1357.77,24.44,,29,4,11,Solid,https://en.wikipedia.org/wiki/Copper,https://storage.googleapis.com/search-ar-edu/periodic-table/element_029_copper/element_029_copper_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_029_copper/element_029_copper.glb,,"Copper is a chemical element with symbol Cu (from Latin:cuprum) and atomic number 29. It is a soft, malleable and ductile metal with very high thermal and electrical conductivity. A freshly exposed surface of pure copper has a reddish-orange color.",Cu,11,4,25,4,"[2, 8, 18, 1]",1s2 2s2 2p6 3s2 3p6 4s1 3d10,[Ar] 3d10 4s1,119.235,1.9,"[745.5, 1957.9, 3555, 5536, 7700, 9900, 13400, 16000, 19200, 22400, 25600, 35600, 38700, 42000, 46700, 50200, 53700, 61100, 64702, 163700, 174100, 184900, 198800, 210500, 222700, 239100, 249660, 1067358, 1116105]",c88033,d,Macro of Native Copper about 1 ½ inches (4 cm) in size,https://upload.wikimedia.org/wikipedia/commons/f/f0/NatCopper.jpg,"Native_Copper_Macro_Digon3.jpg: 'Jonathan Zander (Digon3)' derivative work: Materialscientist, CC BY-SA 2.5 <https://creativecommons.org/licenses/by-sa/2.5>, via Wikimedia Commons"
Zinc,silver-gray,65.382,1180.0,transition metal,7.14,India,692.68,25.47,,30,4,12,Solid,https://en.wikipedia.org/wiki/Zinc,https://storage.googleapis.com/search-ar-edu/periodic-table/element_030_zinc/element_030_zinc_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_030_zinc/element_030_zinc.glb,,"Zinc, in commerce also spelter, is a chemical element with symbol Zn and atomic number 30. It is the first element of group 12 of the periodic table. In some respects zinc is chemically similar to magnesium:its ion is of similar size and its only common oxidation state is +2.",Zn,12,4,26,4,"[2, 8, 18, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10,[Ar] 3d10 4s2,-58.0,1.65,"[906.4, 1733.3, 3833, 5731, 7970, 10400, 12900, 16800, 19600, 23000, 26400, 29990, 40490, 43800, 47300, 52300, 55900, 59700, 67300, 71200, 179100]",7d80b0,d,"30 grams Zinc, front and back side. Original size in cm: 3",https://upload.wikimedia.org/wikipedia/commons/b/ba/Zinc_%2830_Zn%29.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/zinc.php"
Gallium,silver-white,69.7231,2673.0,post-transition metal,5.91,Lecoq de Boisbaudran,302.9146,25.86,,31,4,13,Solid,https://en.wikipedia.org/wiki/Gallium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_031_gallium/element_031_gallium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_031_gallium/element_031_gallium.glb,,"Gallium is a chemical element with symbol Ga and atomic number 31. Elemental gallium does not occur in free form in nature, but as the gallium(III) compounds that are in trace amounts in zinc ores and in bauxite. Gallium is a soft, silvery metal, and elemental gallium is a brittle solid at low temperatures, and melts at 29.76 °C (85.57 °F) (slightly above room temperature).",Ga,13,4,27,4,"[2, 8, 18, 3]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p1,[Ar] 3d10 4s2 4p1,41.0,1.81,"[578.8, 1979.3, 2963, 6180]",c28f8f,p,"Solid gallium, fresh and after some time (2 months) at room temperature",https://upload.wikimedia.org/wikipedia/commons/b/b1/Solid_gallium_%28Ga%29.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/gallium.php"
Germanium,grayish-white,72.6308,3106.0,metalloid,5.323,Clemens Winkler,1211.4,23.222,,32,4,14,Solid,https://en.wikipedia.org/wiki/Germanium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_032_germanium/element_032_germanium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_032_germanium/element_032_germanium.glb,,"Germanium is a chemical element with symbol Ge and atomic number 32. It is a lustrous, hard, grayish-white metalloid in the carbon group, chemically similar to its group neighbors tin and silicon. Purified germanium is a semiconductor, with an appearance most similar to elemental silicon.",Ge,14,4,28,4,"[2, 8, 18, 4]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p2,[Ar] 3d10 4s2 4p2,118.9352,2.01,"[762, 1537.5, 3302.1, 4411, 9020]",668f8f,p,"12 Grams Polycrystalline Germanium, 2*3 cm",https://upload.wikimedia.org/wikipedia/commons/0/08/Polycrystalline-germanium.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/germanium.php"
Arsenic,metallic grey,74.9215956,,metalloid,5.727,Bronze Age,,24.64,,33,4,15,Solid,https://en.wikipedia.org/wiki/Arsenic,https://storage.googleapis.com/search-ar-edu/periodic-table/element_033_arsenic/element_033_arsenic_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_033_arsenic/element_033_arsenic.glb,,"Arsenic is a chemical element with symbol As and atomic number 33. Arsenic occurs in many minerals, usually in conjunction with sulfur and metals, and also as a pure elemental crystal. Arsenic is a metalloid.",As,15,4,29,4,"[2, 8, 18, 5]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p3,[Ar] 3d10 4s2 4p3,77.65,2.18,"[947, 1798, 2735, 4837, 6043, 12310]",bd80e3,p,"Ultrapure Metallic Arsenic under Argon, 1 - 2 grams. Original size of each piece in cm: 0.5 x 1",https://upload.wikimedia.org/wikipedia/commons/3/3b/Arsenic_%2833_As%29.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/arsenic.php"
Selenium,"black, red, and gray (not pictured) allotropes",78.9718,958.0,polyatomic nonmetal,4.81,Jöns Jakob Berzelius,494.0,25.363,,34,4,16,Solid,https://en.wikipedia.org/wiki/Selenium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_034_selenium/element_034_selenium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_034_selenium/element_034_selenium.glb,,"Selenium is a chemical element with symbol Se and atomic number 34. It is a nonmetal with properties that are intermediate between those of its periodic table column-adjacent chalcogen elements sulfur and tellurium. It rarely occurs in its elemental state in nature, or as pure ore compounds.",Se,16,4,30,4,"[2, 8, 18, 6]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p4,[Ar] 3d10 4s2 4p4,194.9587,2.55,"[941, 2045, 2973.7, 4144, 6590, 7880, 14990]",ffa100,p,"Ultrapure Black, Amorphous Selenium, 3 - 4 grams. Original size in cm: 2",https://upload.wikimedia.org/wikipedia/commons/7/7f/Selenium.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/selenium.php"
Bromine,,79.904,332.0,diatomic nonmetal,3.1028,Antoine Jérôme Balard,265.8,,,35,4,17,Liquid,https://en.wikipedia.org/wiki/Bromine,https://storage.googleapis.com/search-ar-edu/periodic-table/element_035_bromine/element_035_bromine_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_035_bromine/element_035_bromine.glb,,"Bromine (from Ancient Greek:βρῶμος, brómos, meaning ""stench"") is a chemical element with symbol Br, and atomic number 35. It is a halogen. The element was isolated independently by two chemists, Carl Jacob Löwig and Antoine Jerome Balard, in 1825–1826.",Br,17,4,31,4,"[2, 8, 18, 7]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p5,[Ar] 3d10 4s2 4p5,324.537,2.96,"[1139.9, 2103, 3470, 4560, 5760, 8550, 9940, 18600]",a62929,p,"99.5 % pure liquid Bromine in a 4 x 1 cm big glass ampoule, cast in acrylic",https://upload.wikimedia.org/wikipedia/commons/8/87/Bromine-ampoule.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/bromine.php"
Krypton,"colorless gas, exhibiting a whitish glow in a high electric field",83.7982,119.93,noble gas,3.749,William Ramsay,115.78,,,36,4,18,Gas,https://en.wikipedia.org/wiki/Krypton,https://storage.googleapis.com/search-ar-edu/periodic-table/element_036_krypton/element_036_krypton_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_036_krypton/element_036_krypton.glb,https://en.wikipedia.org/wiki/File:Krypton_Spectrum.jpg,"Krypton (from Greek:κρυπτός kryptos ""the hidden one"") is a chemical element with symbol Kr and atomic number 36. It is a member of group 18 (noble gases) elements. A colorless, odorless, tasteless noble gas, krypton occurs in trace amounts in the atmosphere, is isolated by fractionally distilling liquefied air, and is often used with other rare gases in fluorescent lamps.",Kr,18,4,32,4,"[2, 8, 18, 8]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6,[Ar] 3d10 4s2 4p6,-96.0,3.0,"[1350.8, 2350.4, 3565, 5070, 6240, 7570, 10710, 12138, 22274, 25880, 29700, 33800, 37700, 43100, 47500, 52200, 57100, 61800, 75800, 80400, 85300, 90400, 96300, 101400, 111100, 116290, 282500, 296200, 311400, 326200]",5cb8d1,p,Vial of Glowing Ultrapure Krypton. Original size in cm: 1 x 5.,https://upload.wikimedia.org/wikipedia/commons/9/9c/Krypton-glow.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/krypton.php"
Rubidium,grey white,85.46783,961.0,alkali metal,1.532,Robert Bunsen,312.45,31.06,,37,5,1,Solid,https://en.wikipedia.org/wiki/Rubidium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_037_rubidium/element_037_rubidium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_037_rubidium/element_037_rubidium.glb,,"Rubidium is a chemical element with symbol Rb and atomic number 37. Rubidium is a soft, silvery-white metallic element of the alkali metal group, with an atomic mass of 85.4678. Elemental rubidium is highly reactive, with properties similar to those of other alkali metals, such as very rapid oxidation in air.",Rb,1,5,1,5,"[2, 8, 18, 8, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1,[Kr] 5s1,46.884,0.82,"[403, 2633, 3860, 5080, 6850, 8140, 9570, 13120, 14500, 26740]",702eb0,s,Rubidium Metal Sample,https://upload.wikimedia.org/wikipedia/commons/c/c9/Rb5.JPG,"Dnn87, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Strontium,,87.621,1650.0,alkaline earth metal,2.64,William Cruickshank (chemist),1050.0,26.4,,38,5,2,Solid,https://en.wikipedia.org/wiki/Strontium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_038_strontium/element_038_strontium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_038_strontium/element_038_strontium.glb,,"Strontium is a chemical element with symbol Sr and atomic number 38. An alkaline earth metal, strontium is a soft silver-white or yellowish metallic element that is highly reactive chemically. The metal turns yellow when it is exposed to air.",Sr,2,5,2,5,"[2, 8, 18, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2,[Kr] 5s2,5.023,0.95,"[549.5, 1064.2, 4138, 5500, 6910, 8760, 10230, 11800, 15600, 17100, 31270]",00ff00,s,Strontium Pieces under Paraffin Oil.,https://upload.wikimedia.org/wikipedia/commons/8/84/Strontium-1.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/strontium.php"
Yttrium,silvery white,88.905842,3203.0,transition metal,4.472,Johan Gadolin,1799.0,26.53,,39,5,3,Solid,https://en.wikipedia.org/wiki/Yttrium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_039_yttrium/element_039_yttrium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_039_yttrium/element_039_yttrium.glb,,"Yttrium is a chemical element with symbol Y and atomic number 39. It is a silvery-metallic transition metal chemically similar to the lanthanides and it has often been classified as a ""rare earth element"". Yttrium is almost always found combined with the lanthanides in rare earth minerals and is never found in nature as a free element.",Y,3,5,17,5,"[2, 8, 18, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d1,[Kr] 4d1 5s2,29.6,1.22,"[600, 1180, 1980, 5847, 7430, 8970, 11190, 12450, 14110, 18400, 19900, 36090]",94ffff,d,"6,21g Yttrium, Reinheit mindestens 99%.",https://upload.wikimedia.org/wikipedia/commons/9/90/Piece_of_Yttrium.jpg,"Jan Anskeit, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Zirconium,silvery white,91.2242,4650.0,transition metal,6.52,Martin Heinrich Klaproth,2128.0,25.36,,40,5,4,Solid,https://en.wikipedia.org/wiki/Zirconium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_040_zirconium/element_040_zirconium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_040_zirconium/element_040_zirconium.glb,,"Zirconium is a chemical element with symbol Zr and atomic number 40. The name of zirconium is taken from the name of the mineral zircon, the most important source of zirconium. The word zircon comes from the Persian word zargun زرگون, meaning ""gold-colored"".",Zr,4,5,18,5,"[2, 8, 18, 10, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d2,[Kr] 4d2 5s2,41.806,1.33,"[640.1, 1270, 2218, 3313, 7752, 9500]",94e0e0,d,"Two pieces of Zirconium, 1 cm each.",https://upload.wikimedia.org/wikipedia/commons/1/1d/Zirconium-pieces.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/zirconium.php"
Niobium,"gray metallic, bluish when oxidized",92.906372,5017.0,transition metal,8.57,Charles Hatchett,2750.0,24.6,,41,5,5,Solid,https://en.wikipedia.org/wiki/Niobium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_041_niobium/element_041_niobium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_041_niobium/element_041_niobium.glb,,"Niobium, formerly columbium, is a chemical element with symbol Nb (formerly Cb) and atomic number 41. It is a soft, grey, ductile transition metal, which is often found in the pyrochlore mineral, the main commercial source for niobium, and columbite. The name comes from Greek mythology:Niobe, daughter of Tantalus since it is so similar to tantalum.",Nb,5,5,19,5,"[2, 8, 18, 12, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d4,[Kr] 4d4 5s1,88.516,1.6,"[652.1, 1380, 2416, 3700, 4877, 9847, 12100]",73c2c9,d,Niobium strips,https://upload.wikimedia.org/wikipedia/commons/c/c2/Niobium_strips.JPG,"Mauro Cateb, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Molybdenum,gray metallic,95.951,4912.0,transition metal,10.28,Carl Wilhelm Scheele,2896.0,24.06,,42,5,6,Solid,https://en.wikipedia.org/wiki/Molybdenum,https://storage.googleapis.com/search-ar-edu/periodic-table/element_042_molybdenum/element_042_molybdenum_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_042_molybdenum/element_042_molybdenum.glb,,"Molybdenum is a chemical element with symbol Mo and atomic number 42. The name is from Neo-Latin molybdaenum, from Ancient Greek Μόλυβδος molybdos, meaning lead, since its ores were confused with lead ores. Molybdenum minerals have been known throughout history, but the element was discovered (in the sense of differentiating it as a new entity from the mineral salts of other metals) in 1778 by Carl Wilhelm Scheele.",Mo,6,5,20,5,"[2, 8, 18, 13, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d5,[Kr] 4d5 5s1,72.1,2.16,"[684.3, 1560, 2618, 4480, 5257, 6640.8, 12125, 13860, 15835, 17980, 20190, 22219, 26930, 29196, 52490, 55000, 61400, 67700, 74000, 80400, 87000, 93400, 98420, 104400, 121900, 127700, 133800, 139800, 148100, 154500]",54b5b5,d,"99.9 Pure Molybdenum Crystal, about 2 x 3 cm, with anodisation color",https://upload.wikimedia.org/wikipedia/commons/f/f0/Molybdenum.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/molybdenum.php"
Technetium,shiny gray metal,98.0,4538.0,transition metal,11.0,Emilio Segrè,2430.0,24.27,,43,5,7,Solid,https://en.wikipedia.org/wiki/Technetium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_043_technetium/element_043_technetium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_043_technetium/element_043_technetium.glb,,"Technetium (/tɛkˈniːʃiəm/) is a chemical element with symbol Tc and atomic number 43. It is the element with the lowest atomic number in the periodic table that has no stable isotopes:every form of it is radioactive. Nearly all technetium is produced synthetically, and only minute amounts are found in nature.",Tc,7,5,21,5,"[2, 8, 18, 13, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d5,[Kr] 4d5 5s2,53.0,1.9,"[702, 1470, 2850]",3b9e9e,d,"Technetium Sample inside a sealed glass ampoule, filled with argon gas. 6x1 mm goldfoil covered with 99Tc powder (electroplated).",https://upload.wikimedia.org/wikipedia/commons/a/ab/Technetium-sample-cropped.jpg,"GFDL, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Ruthenium,silvery white metallic,101.072,4423.0,transition metal,12.45,Karl Ernst Claus,2607.0,24.06,,44,5,8,Solid,https://en.wikipedia.org/wiki/Ruthenium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_044_ruthenium/element_044_ruthenium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_044_ruthenium/element_044_ruthenium.glb,,"Ruthenium is a chemical element with symbol Ru and atomic number 44. It is a rare transition metal belonging to the platinum group of the periodic table. Like the other metals of the platinum group, ruthenium is inert to most other chemicals.",Ru,8,5,22,5,"[2, 8, 18, 15, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d7,[Kr] 4d7 5s1,100.96,2.2,"[710.2, 1620, 2747]",248f8f,d,"Ruthenium Crystal, 0.6 grams, 0.6 x 1.3 cm size",https://upload.wikimedia.org/wikipedia/commons/a/a8/Ruthenium_crystal.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/ruthenium.php"
Rhodium,silvery white metallic,102.905502,3968.0,transition metal,12.41,William Hyde Wollaston,2237.0,24.98,,45,5,9,Solid,https://en.wikipedia.org/wiki/Rhodium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_045_rhodium/element_045_rhodium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_045_rhodium/element_045_rhodium.glb,,"Rhodium is a chemical element with symbol Rh and atomic number 45. It is a rare, silvery-white, hard, and chemically inert transition metal. It is a member of the platinum group.",Rh,9,5,23,5,"[2, 8, 18, 16, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d8,[Kr] 4d8 5s1,110.27,2.28,"[719.7, 1740, 2997]",0a7d8c,d,"Pure Rhodium Bead, 1 gram. Original size in cm: 0.5",https://upload.wikimedia.org/wikipedia/commons/5/54/Rhodium_%28Rh%29.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/rhodium.php"
Palladium,silvery white,106.421,3236.0,transition metal,12.023,William Hyde Wollaston,1828.05,25.98,,46,5,10,Solid,https://en.wikipedia.org/wiki/Palladium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_046_palladium/element_046_palladium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_046_palladium/element_046_palladium.glb,,"Palladium is a chemical element with symbol Pd and atomic number 46. It is a rare and lustrous silvery-white metal discovered in 1803 by William Hyde Wollaston. He named it after the asteroid Pallas, which was itself named after the epithet of the Greek goddess Athena, acquired by her when she slew Pallas.",Pd,10,5,24,5,"[2, 8, 18, 18]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 4d10,[Kr] 4d10,54.24,2.2,"[804.4, 1870, 3177]",006985,d,"Palladium Crystal, about 1 gram. Original size in cm: 0.5 x 1",https://upload.wikimedia.org/wikipedia/commons/d/d7/Palladium_%2846_Pd%29.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/palladium.php"
Silver,lustrous white metal,107.86822,2435.0,transition metal,10.49,"unknown, before 5000 BC",1234.93,25.35,,47,5,11,Solid,https://en.wikipedia.org/wiki/Silver,https://storage.googleapis.com/search-ar-edu/periodic-table/element_047_silver/element_047_silver_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_047_silver/element_047_silver.glb,,"Silver is a chemical element with symbol Ag (Greek:άργυρος árguros, Latin:argentum, both from the Indo-European root *h₂erǵ- for ""grey"" or ""shining"") and atomic number 47. A soft, white, lustrous transition metal, it possesses the highest electrical conductivity, thermal conductivity and reflectivity of any metal. The metal occurs naturally in its pure, free form (native silver), as an alloy with gold and other metals, and in minerals such as argentite and chlorargyrite.",Ag,11,5,25,5,"[2, 8, 18, 18, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d10,[Kr] 4d10 5s1,125.862,1.93,"[731, 2070, 3361]",c0c0c0,d,"Natural silver nugget, 1 cm long.",https://upload.wikimedia.org/wikipedia/commons/e/e4/Silver-nugget.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: http://images-of-elements.com/silver.php"
